Gamma,	Eps,	Time,	Iter,	Reward
________________________________________________________________________________
0.50,	1E-03,	0.00,	17,	198.025084
0.50,	1E-06,	0.00,	27,	198.026357
0.50,	1E-09,	0.00,	37,	198.026358
0.50,	1E-12,	0.00,	46,	198.026358
0.50,	1E-15,	0.00,	56,	198.026358
0.75,	1E-03,	0.00,	43,	388.398086
0.75,	1E-06,	0.00,	66,	388.399158
0.75,	1E-09,	0.00,	89,	388.399159
0.75,	1E-12,	0.00,	112,	388.399159
0.75,	1E-15,	0.00,	136,	388.399159
0.90,	1E-03,	0.00,	119,	917.819231
0.90,	1E-06,	0.00,	179,	917.820239
0.90,	1E-09,	0.00,	239,	917.820240
0.90,	1E-12,	0.01,	299,	917.820240
0.90,	1E-15,	0.01,	348,	917.820240
0.95,	1E-03,	0.00,	69,	1657.673686
0.95,	1E-06,	0.00,	69,	1657.673686
0.95,	1E-09,	0.00,	69,	1657.673686
0.95,	1E-12,	0.01,	574,	1687.368663
0.95,	1E-15,	0.01,	687,	1687.368663
0.99,	1E-03,	0.00,	65,	3670.193595
0.99,	1E-06,	0.00,	65,	3670.193595
0.99,	1E-09,	0.00,	65,	3670.193595
0.99,	1E-12,	0.03,	1833,	6427.347126
0.99,	1E-15,	0.04,	2177,	6427.347177
1.00,	1E-03,	0.00,	65,	4791.570379
1.00,	1E-06,	0.00,	65,	4791.570379
1.00,	1E-09,	0.06,	3403,	154491.918571
1.00,	1E-12,	0.08,	4084,	179361.993104
1.00,	1E-15,	0.09,	4764,	202561.749466
Time taken: 0.39
